,text,polarity
0,"حمام الكبريت 
نصحوني بتجربة حمام الكبريت. يمكنكم الدخول مع مجموعة ولكني استأجرت غرفة كاملة لي. التكلفة 50 لاري ويمكنكم إضافة السكرب والمساج مقابل 20 لاري. ذهبت في نهاية الإجازة للاسترخاء من الرحلات اليومية التي قمت بها. الحمام نظيف والعاملات في منتهى التعاون لكن الإنجليزية ضعيفة.
",1.0
1,"قلعة ساحرة 
منظر خلاب للمدينة من أعلى القلعة. يوجد بها حديقة نباتات ومجرى مائي جميل جدا. يمكنك الصعود سيرا أو باستخدام التلفريك
",1.0
2,"تبليسي 
تبليسي جورجيا
من أجمل المدن التي زرتها في حياتي شعبها طيب ومبتسم والحياة جميلة ورخيصه وفيها كل ما تريد من ترفيه وأماكن عبادة
",1.0
3,"جولة على المدينة القديمة تبليسي < شاردن 
ممتعة الجولة حول نهر كورا ...والجسر الزجاجي... ومنطقة شاردن وجلساتها الرائعة
وتلفريك للجبل لملكة جورجيا واطلالة على المدينة وكذالك النافورة الراقصة بعد المغرب
",1.0
4,"احلي اجازه لمحبي الطبيعه 
المناظر الخلابه الطبيعيه البكر تتمثل في جورجيا ًًـ وعدم الزحام و الاجواء المعتدله بالصيف هو ميزه تظاف لها
",1.0
5,"الصعود لقمة مطل تبليسي 
الصعود لقمة المرتفع يعد غاية في الجمال خاصة انه مخدوم بقطار مريح يثل للقمة حيث المطل لجميع اجزاء تبليسي العاصمة بمنظر بانورامي جميل
مع تحياتي رحال الخبر
",1.0
7,"جميل جدا 
يعرض لك وبصورة مبسطة تاريخ وتقاليد قبائل ومدن جورجيا
مناظر الطبيعة والغابات جميلة جدا
بعض الاكواخ يوجد فيها من يشرح عن العادات والتقاليد
انصح بزيارته
",1.0
8,"مدينة جميلة تستحق الزيارة 
تبليسي عاصمة جورجيا مدينة رائعة وسكانها بسطاء. تجمع سحر أوروبا دون مبالغة في الأسعار. من أجمل المعالم قلعة ناري كالا أعلى الجبل. فنادقها بسيطة ولكنها جميلة وعائلية. حمام الكبريت غاية في الروعة تشعر بعده بالاسترخاء. بالنسبة للسيدات، هناك مركز تجميل غاية في الروعة والنظافة اسمه مركز تجميل نينا وأسعاره معقولة جدا ومنتجاته في منتهى الرقي. صاحبة الصالون تتحدث الإنجليزية وبعض العربية والموظفات في منتهى التعاون والحرفية.
",1.0
9,"اللهم ارزقنا الجنة 
منطقه رائعه وجميلة جدا جدا جدا تتوفر فيها شقق سكنيه ومطاعم ومقاهي باردة صيفا وممطره والضباب يلف في المكان بإستمرار توجد بالمنطقه شلالات ونهر ومسطحات خضراء الذهاب الى هذه المنطقه ضرورى للغايه والطريق اليها من طربزون رائع وبالقرب منه توجد محلات لتأجير القوارب في المناطق الشديدة التيار من النهر
تبعد عن طرابزون 200 كلم تقريبا.
",1.0
10,"ممتازه 
جو روعه ولا بالخيال وتزدحم اثناء العطل التركيه بالصيف وفي الشتاء تنقلب المنطقة الى بساط ابيض من الثلج
",1.0
