text,polarity
ممتازة بصراحه مريحة خاصتا في الخرجات الي من غير عربية,1
عملي,1
جيد نوع,0
اشتريت السلعه ودفعت ثمنها من الماستر كارد وتم ابلاغي انه تم ارجاعها ولا اعلم السبب,-1
شنطة جميلة وأنيقة وسعرها مناسب جدا,-1
حلوه,1
هذا السرير (أو المحجر كما يسمى) ممتاز ... نوم ولعب بأمان خاصة للأطفال الرضع أقل من 3 سنوات.,1
مفيده,1
مرااا حلوة احلى شيء انها تجمع اكتر من شيء بمكان واحد يعني اغتنام مساحهة ومنظمة ومرتبة وكل شي قريب من البيبي .. واجهت صعوبة بس في فتح السرير .. والطريقة كانت واضحة باليوتيوب اكتبو طريقة تركيب سرير الاطفال,1
هذه السلعه ممتازة جدا وفريدة من نوعها,1
شكرا لكم على خدمتك,0
تم توصيل السلعة الى المنزل بحالة ممتازه في وقت قصير وهي اداة مفيدة جدا لإراحة الأهل من تفقد الأطفال كل فترة,1
منتج رائع جداً وانصح فيه,1
السلعة تستحق القيمة التي دفعتها فيها ( 30 ريال). عيبها الوحيد أن البائع رفع السعر إلى الضعف! لا أنصح بشرائها بهذا السعر المبالغ فيه. لا تستحق أن تدفع فيها 60 ريال.,0
جميع منتجات السلامة لطفل ممتازة,1
رائعه وعملية. قوة الشفط مناسبة للاطفال غير مؤذية. يمكن استعمالها للانف او للفم لكن يجيب تنظيفها. سهلة الشحن و الحمل و الاستعمال والتنظيف. انصح بإقتنائها.,1
السلعة رديئة وقد تلفت من اول استخدام  نوعية الشاش المستخدم خفيف جدا  ويتمزق بسهولة عند اي استخدام واذا تمزق فقدت خاصيتها بمنع البعوض,-1
ممتازة للاطفال,1
نوعيه ممتازه رائحه منديل ملمسه ناعم ورائحته زكيه وهو عباره عن منديل مرطب مع لوشن  وانا معجب من سوق لسرعه التوصيل انا اشكرا علي الموضوع دا,1
مجموعة متنوعة وممتاز مناسب للسفر,1
ممتاز ومتعدد الانواع,1
الحقيقه الفستان اعجبني بس مافهمت نقطة بنات 4 الي 5 سنوات والحجم من 12 الى 18 شهر انا عندي بنت عمرها 4 سنوات وابي اشتري على قدها ممكن تفيدونا,1
ممتازة للطفل وحافظة لعينيه بعد الله من دخول الشامبو فيها جودتها نوعاما غريبة لكن تفي بالغرض شكرا لكم,1
"سلعة ممتازة جدا"" يمكنني السماع من خلال الجدران والحواجز بوضوح أنصح بها ويمكنك أخافض الصوت ورفعة للسماع أوضح",1
مناسبه للأعياد والحفلات,1
- إيجابيات و سلبيات بدلة تخسيس رياضية ‫(2XL):,1
غير مناسبة لمن يريد الحصول على جسم مشدود تصلح لصاحب جسم مشدود اساسا لاظهار تفاصيل جسمه,-1
رائع وانصح به للذي يملك ترهلات فقط,1
سلعة ممتازه والتسليم أكثر من جيد من ناحية زمن التسليم كما ان سعرها ممتاز ولا توجد بها أي سلبيات وشكرا لكم,1
حلو كتير,1
حافظة عملية تغنيك عن حمل المحافظ الكبيرة و المزعجة للجيب ... باستطاعتك الوصول للكرت المهم في وقت قصير جداً,1
تحتوي على جيب بسحاب و مواقع كثيرة للبطاقات و حجمها متوسط,1
القلم أفضل أما المحفضه سيئة جدا ورديئه الخام,-1
اعجبني بشده وانصح به جميع من يعانون من الام في الظهر وخاصة الاشخاص الذين لا يستطيعون اقامة ظهرهم بالشكل الطبيعي المطلوب,1
القلم لايطابق المواصفات المذكورة,-1
المنتج رائع,1
فعلاً بتحافظ على الكروت جدا لانها معدن بس كنت اتمنى ان تكون مفصلات الحافظه اقوى وعموماً هى شكلها جميل جدا وبتجذب اى حد شافها معايا بيقوللى بتتباع فين,1
سلعة رائعة بالضبط هي السلعة التي كنت أبحث عنه,1
لا بأس بها لكن لم يعجبني حجمها الكبير مشوه منظر المحفظه !,0
لا تكفي لاكثر من ثلاث او اربع بطاقات والسعر مبالغ فيه يعني حوالي 100 ريال,-1
ممتازة لو تأتي في كرتون خاص فيها لتكون هدية قيمة,1
الحمدلله والصلاة والسلام على رسول الله ...نوعية ممتازة وصلت مغلفة بعناية و في وقت مناسب,1
ممتازه من ناحية اشكل الانيق,1
شماغ رائع ومميز,1
رائعة وعمليه وشيك جدا,1
روعه ومطابقه للصوره,1
قلم رائع,1
جلد طبيعي وجودة عالية,1
قلم ممتاز بالنسبة للسعر واسم الماركة اسعار شيروتي بالنسبة للاكسسوارات الرجالية اقلام ومحافظ وكبكات,1
جميلة وانيقة ولكن ارى انها صغيره,1
مساء الخير، وصلني القلم اليوم لكن للأسف الدائرتين التي تظهر في الصورة باللون الأحمر مختلفة عن الواقع حيث أن القلم الذي وصلني الدائرة لونها أصفر,-1
غير متطابقه مع صورة العرض,1
انيقه وجميله وفعلاً عصريه  وتتسع لي البطاقات والاموال  والاوراق الشخصيه  والهاتف الشخصي واعطيها تقيمي الشخصي  بي خمس  نجوم,1
السلعة أكثر من رائعة بالنسبة لي ومصنوع من خامة ممتازة و أنيق جدا ومن أجمل ما قمت بشرائه على متجر سوق كوم الرائع،،،,1
اذا كانت كما في الصورة فهي من ارقاء انواع الاقلام .,0
محفظة مفاتيح رائعة وعملية وخفيفة.,1
جيدجداا,1
لا انصح احد بشرائها,-1
شكرا لتوفير هذه الغترة الرائعة وأتمنى زيادة عدد القطع المعروضة للبيع. فهذه المرة الثانية التي أقوم بشراء هذه السلعة .,1
ممتازه ونوعيه طيبه وشكراً على هذه السلعه ونتمنى التقدم والزياده فموقعكم وفر لنا الشي الكثير فجزاكم الله خير,1
المنتج غير جيدة ولا انصح به,-1
كل شي ممتاز العيب الوحيد تاخر وصلها فقط,1
مستواها جيد ولابد من اضافة الشركة المصنعة في المميزات حتى يتسنى للمستهلك نوع الشركة ويكون على دراية تامة في اتخاذ القرار وهومطمئن اكثر مماهو مذكور في المميزات ولكم جزيل الشكر على تيسير خدمة الشراء ابتداء من الشراء حتى استلام السلعة,0
اعطي اكبر من حجمه اضعاف مايستحق,-1
الصورة و الوصف يختلف تماما عن السلعة التي استلمتها,1
خامة يابانية ممتازة وعالية الجودة,1
المقاس مختلف عن المقاس المطلوب,-1
قلم ذو شكل فخم وانسيابي عند الكتابة!,1
أولا:وفق الله هذه البائعة لكل خير.,1
السلعة سيئة وخامتها سيئة جدا وغير عملية ولا تقوم بشد الجسم بالشكل المطلوب  واتقطعت في أول يوم استخدام,-1
خفيف الوزن وانيق والسعر ممتاز,1
- إيجابيات و سلبيات Aluminum Wallet – Silver Color,0
شكلها روعه لاكن اللون مو ذهبي فاقع نفس الصوره شوي افتح,-1
السلعة جيده وذو نوعيه رائعه وشكرا على خدمة رائعه منكم,1
جميل  اتمنا الجديد,0
الشريط الداخلي يطلع من مكانه وتتوسع المحفظة وتصير بدون فائدة,-1
جيد جدا للبطاقات للناس التي تحب الاحتفاظات بالبطاقات في السياره كالرخص والهويه وبطاقات الصراف,1
جيدة وعملية وتقوم بشد ترهلات الجسم وخاماتها ممتازة .... لكن مشكلتها انها صعبة في الارتداء,1
حجمها صغير ورائعه المظهر خصوصا اللو الذهبي,1
عملية ولها اكثر من استخدام وسعرها مناسب,1
السلعة ليست بالجودة المطلوبة  وقد اشتخدمتها لمرة واحدة فقط ولم ارجع لاستخدامها مرة ثانية .,0
جميل جدا والاجمل شكله وكتابته,1
i like it,1
جهاز سيئ جدا منتج رديئ وجوده رديئه ولا يستحق اى مبلغ. ولا انصح به احد,-1
المكيف جوده سيئة ولا يوجد تبريد إطلاقا لم استفد منه و المبلغه المدفوع فيه مبالغ فيه لعدم وجود تبريد اعرف المكيفات الصحرايه لاكن ليس بجوده هذا المكيف,-1
السعر مره غالي انا شريت نفس الفلتر هذا بحوالي ٤٥٠ يغطي ٢٤ متر مربع من اكسترا بتقريبا ٤٥٠ ريال ، و هنا ما احد ذاكر المساحه اللي يغطيها اذا كان نفس الحجم ، فسعره غالي و ادا كان يغطي مساحه اكبر فيمكن يستاهل !! و تحياتي,-1
جهاز مفيد وعملي,1
بصراحة عملية و تؤدي الغرض في سرعة التبخير .. ولكن مشكلة الحرارة في بدن القلم بعد الإستخدام مزعجة,0
جدآ رائعة و صلتني في الوقت المحدد,1
ممتازة وخفيفة وسريعة لكن  الافلام غير متوفرة,1
انصح فيها وجدا سعرها مناسب,1
"سلعة غير عملية , حاولت مرارا وتكرارا استخدمها ولكنها لاتطبع الروسومات , يؤسفنى تقييمها بهذا الشكل فهى سلعة غير جيدة لاتؤدى وظيفتها البتة , لا تخاطر بشراءها .",-1
واسعه بتشيل كل حاجه ومبطنه من الداخل علشان مافيش حاجه تتكسر جواها الاسود بتاعها جميل والسوست قويه سهله الحمل لاي مكان ممكن ف شنطه اليد كمان بس تكون الشنطه ف الحجم الوسط او الكبير,1
جيد لابأس به,1
رائع وسهل الاستخدام. ينظف المناكير الخارج من حدود الظفر. يوجد رأسين احتياطي للتبديل في حالة عطب الرأس المستخدم.,1
عديمة الفائدة وسعرها غير مناسب,-1
جهاز عملي وسريع ومختصر للوقت في تنظيف البشرة اشكرك ع السعر المميز الله يبارك لك في مالك يارب ويكثر من امثالك,1
ممتااااااااااااااااااااااااااااااز,1
المنتج رائع - الشحن سريع - متابعة فائقة الجودة من موقع سوق - البائع امين - ساكرر تجربة الشراء من موقع سوق - شكرا موقع سوق - شكرا للبائع - شكرا لشركة ارامكس - مع تحياتي,1
راااائعه,1
ممتازة جدا وذات جودة  ولجودتها ولاكتمال المواصفات ومصداقيتها,1
ساعطي الفرش ذات الشعر الاحمر تقييم: متوسط.,-1
المقص ليس عملي ونتائجه سيئة للغاية,-1
رووووووعه,1
الفرش جدا جميله وعمليه وسعرها جدا مناسب من افضل الفرش الي استخدمتها انصح فيها بشدة وتم وصولها بافضل حاله اسعدني التعامل معك,1
شعر الفرشاة جداً ناعم وسعرهاً جداً مناسب شكراً,1
الخامه سيئه والسوسته ضعيه وسريعه التلف,-1
أتمنى تطويرها لتصبح قطعتين معاً والمقاس يمكن التحكم به,1
رائع لكن يفضل علي البائع سرعة التوصيل,1
نفس الطلب بحذاقيره ... رائع ... سريع ... دقة ... نظافة ... متعة ... مغامرة في كل رسمة ... ذوق في الرسمات الناعمة جدا جدا جدا ... شكر خاص للبائع الصادق ... وشكر خاص لـ ((( سوق كوم ))),1
رائحته جميله ويقوم بالعناية بالبشرة بطريقة لطيفة .. أضف إلى ذلك انه سعره رائع من البائع samiiiii  بمبلغ 30 ريال فقط,1
الوان رائعه وجذابه لحبيبات الكافيار لتزيين المناكير. سرعة التوصيل. السعر مناسب. للاسف لاتحتوي على أداة لوضع الحبيبات على المناكير.,1
- إيجابيات و سلبيات ليلي انجل آلة الرسم والطباعة على الأظافر,1
صابونة اكثر  من رائعة  ونتائجها ممتازة .. واهم شي انها طبيعية  مية بالمية ..,1
جيده جداا وانصح بشرائها لانها مريحه جدا وتساعد في ترتيب وتنظيف اظافر القديمين ولا تستهلك جهد كثير ولا وقت  طويل,1
عملية وخفيفة وتساعد على ترتيب المظهر,1
اكثر من رائع .. وكان تعامل المندوب في قمه الذوق,1
السلعة ممتازة، انا جربتها من شخص قبل ما اطلبها ولكن للاسف بعد ما وصلتني زعلت لان التغليف كان سئ مما ادى الى ان السلعة لم تكن صالحة للاستخدام,1
المنتج جيد وكما في الصورة و حسب ماتم اختيارة وسعره ممتاز وتم وصولة وهو بحالة ممتازة و تم وصولة في وقت قياسي .,1
السلعة ممتازة وسعرها مناسب والبائع سريع في ارسال الشحنات..ويسرني التعامل معه مستقبلاً,1
روائح جميلة..,1
ننصح بهذا المنتج كونه منتج اساسي لمحبين التصوير بالسيارة والاسطح اللمساء,0
thanks great item i ever have so i will use it with my canon really love them,1
نوعية الخامه جدآ عجبتني وشكلها جميل وانيق,1
السعة جيدة مقارنة بسعرها..ويعيبها ضعف قاعدة الشفط..,-1
منتج ممتاز لكن سعره غالي,1
جييد,1
جيده جدا  والبائع سريع فى شحن البضاعه,1
المنتج جيد جدا من ناحية المواد المصنعه وسهل الاستخدام  ويوجد حقيبة جميله       بطل,1
خفيف الوزن ومصنوع من الالمنيوم,1
لا انصح بها أبداً و صعبة الاستخدام لسوء صنعها ........................................................................,-1
رسوماتها كبيره وجميله ومختلفه وتوصل بسرعه وتطبع بسرعه وجيدة الصنع معاها كرستالات للزظافر وملقط للكرستالات وواداة تنقيط ممتازه واختصرت علي شراء الادوات,1
