polarity,text,restaurant_id,user_id
-1,"اولا: المنيو تغير الشورما اصبحت اعتياديه بأختفاء الصلصات والخيارات  
 ثانيا : في المره الاولي لطلبي وجدنا قطعه من قفاز الايدي في الدجاج واعتقدنا مبدأيا بأنه من جلد الدجاج  حتي تأكدنا ومنه قررنا ان لا نشتري منه لكن -للبطن احكام :-) 
 ثالثا : طلبت بالمره الاخيره الطبق المفضل لي صحن الشورما (شورما بالتر ) فجاء الطلب من غير خبز او صلصه ولا مجال للعوده للمحل والشكوي  
 قرار اخير لا اطلب من اكسبرس مجددا",296,423
-1,"من محلات الشاورما ذات الشعبيه لتميز الصلصات المقدمه معها يمكن اختيار الشاورما بالصلصات المنوعه (مكسيكيه,فرنسيه,ايطاليه,هنديه,صينيه,بحرينيه,لبنانيه,يابانيه,الباربيكيو,الحاره,العربيه)  
 افضل تناول صحن الشاورما   shawama plater يكون معاها شاورما لحم ودجاج حسب طلبك و4 خبز صاحج وتختار نوعين من الصوص وبطاطس وسلطه ومشروب  
 يعتبر مطعم شبابي لا مكان لجلوس العائله فيه يعني دايم تيك اوي ويفتح لساعات متأخره  
 يستحق التجربه  
  http://www.shawarmaxpress.com/",296,423
1,دجاج طازج يحضر امامك على الطلب لا يقوم باعدة التسخين تاخذه مباشرة بعد القلي يحضر عند الطلب يفضل الاتصال مسبقا نكهة البهارات اكثر من رائعة تكلفة الوجبة للشخص من 2.50 وحتى 3.50 دينار مشبعة 100 % تنفة 5 نجوم و اسعاه شعبية,5027,39580
1,"فكما تعرف أستراليا بالكنغر والكوالا. فإنها تعرف أيضاً بأكلاتها مثل الفيجي مايت  على الإفطار والتم تام كشوكلاته والرد روستر! كوجبة فردية أو عائلية. فهو كالبيك في مكة وجدة لأهل السعودية. 
  
 يشتهر المطعم الأسترالي ١٠٠٪ بوجبات الدجاج المشوي والبطاطا المهروس مع البازلا. ويشتهر أيضا بالبطاطس المقلي العريض والمتعرج. البطاطس غير مستوية تماماَ وقد يعتبرها البعض سلبية وأعتبرها ميزة خصوصاً مع بهارتهم الحمراء الغريبة. يبدوا أنه فلفل أحمر مطحون.  
 أيضا وجبة البحريات قطع ربيان مقلية بطريقة مميزة. ولديهم أيضا المشويات البورتغالية. ولا أنسى سندويشات التشكن راب والبرجرز. 
  
 المطعم يعتبر يعتبر من المطاعم السريعة وطلبات السيارات. فجلساته الداخليه مثل جلسات ماكدونالز وهنقري جاك (برقركنج). ولهم أكثر من ١٥٠ فرع بأستراليا. 
  
 أسعاره مناسبه ومقاربة للمطاعم السريعة المشهورة. ومنتشر في جميع دولة أستراليا وخصوصا المطارات.",642,444
-1,"إسمحو لي أن أقيم مطعم هاشم بصفتي فلسطيني عشت في الأردن 24 عام وأعرف ماذا يعني حمص وفول وفلافل فقد تربيت على هذه الأصناف. 
 هاشم فرع السليمانيه علاقتي معه منذ 4 سنوات كانت الأطباق شهيه.....خصوصاً الحمص والحمص البيروتي والفلافل المشكلة التي عليها البندوره والمخلل.....وقد أستمررت بالذهاب إليه بشكل متقطع بين فطور صباحي باكر وعشاء متأخر. 
  
 منذ فتره رجعت للعوده إليه أحببت أن أقيم بعض الأشياء منها قديم قدم الزمن ومنها حديث .. أولاً الجراسين....الجراسين يعانون من فقدان لحاسه شم وجود زبون جديد....فهم غير مبالون...الطلب يجب أن تكرره للجرسون عدة مرات لكي يحضره وتذكره بما ينسى دائماً....فهو ينسى الشاي...والفلافل....وعادة ما ينسون كتابة الفاتوره وتضطر لإعادة تذكر الطلب وأنت على الكاش. 
  
 المذاق.....لنبداء بالحمص.....الحمص كان لذيذ...وكما تعرفون كان فعل ماضي ناقص....فهو اليوم يعاني من تحوله إلى شوربه...الظاهر يزيدون في نسبه الماء في الحمص من أجل التوفير....القوام غير المتماسك يجعلك تكره نفسك....الفول في أصله عند هذا المطعم يعاني فقدان للهويه فهو لا يشبه الفول أبداً.....الفته أمرها عجيب...فالخبز المستخدم فيها هو الحشوه الموجوده في الخبز الإفرنجي...الحشوه إسفنجيه القوام والتي لما تبتل تتحول إلى هلام....والمعروف أن الفته الأصليه تستخدم قطع مربعه صغيره من الخبز العربي المقلي أو المحمص الذي لا يفقد قوامه عند إبتلاله بسوائل الفته ومرقتها......الفلافل......طعمها جديد ولكن تعاني من الأنيميا الحاده....فهي صغيره بشكل إستثنائي....وعيب عليه أن يكون قرص الفلافل بهذا الحجم......وسعرها مرتفع جداً.....بريال 4 حبات فقط.....وهو أمر مثير للشفقه...وكأني أتناول أقراص دواء من فرط إرتفاع سعرها وصغر حجمها....الخبز بارد معظم الأحيان وهو لا يمتلك فرن داخلي. 
  
 من الجوانب الإيجابيه هو صحن المخلل......رغم أنه حامض زياده عن اللزوم......ورغم أنه مرات ينسى الزيتون.....بالإضافه لأن البندوره مفقوده من صحن المخللات...ولكن لا ضير.......الشيء الجميل هو وجود زيت الزيتون الأصلي على الطاوله وهو أمر يحسب له بجداره. جربت السندويشات وأنا أأكد أنها مقلب كبير خصوصاً السندويشات التي تستخدم الخبز الإفرنجي....وهذا أمر عجيب فالفلافل أكله عربيه ولا يجدر إستخدام غيؤ الخبز العربي معها....وهذا أمر عجيب من مطعم يدعي العراقه. 
  
 أخيراً الحمام يفتقد إلى أبجديات الحمام......فلا صابون سائل....وخلاط المياه مكسوره أو لا يعمل دائماً....والنظافه في الحضيض.....ولا يوجد ورق لتنشيف الأيدي.....والظاهر أن الإدارة قررت أن الحمام من الكماليات الغير جديرة بالنظر إليها. 
  
 لازال الطعم مقبول نوعاً ما.......وعلى الأغلب أني سأذهب إليه الليله لتناول صحن الحمص وبريال فلافل وكأس الشاي بالنعناع........ولكن أعتقد أنه يجب تجريب مطعم أبو جباره لأنه مطعم منافس وفي نفس الشارع. 
  
 أمر كدت أنساه.........هاشم يفتح لغايه منتصف الليل وأحياناً إلى ما بعده وهذا أمر يحسب له بجداره.",434,2191
-1,"دعاية المطعم وسمعته أكبر بكثير من مستوى وجباته. 
 جربته وكنت أعتقد أنني سأتمتع بوجبة مميزة، ولكن جميع مأكولاته عادية بل أقل من عادية أحيانا. والفلافل يمكن أن تجد أفضل منها لدى مطاعم منزوية وسط الحارات. 
 إضافة إلى ذلك هناك تعالي في تعاملهم، والمطعم تحس أنه يعود للستينيات! لكن مش بأناقة، بل بفوضوية. 
  
 والحديث كله عن فرع السليمانبة.",434,3033
-1,"انا من 5 سنوات كنت اكل فيه 
 كان طعم هاشم المميز بالفول والحمص والفلافل 
  
 لكن الان اعتقد ان الطمع ذبح اصحاب المطعم و  شل تفكيرهم 
 واصبحات اسوأ الاصناف موجودة عندهم 
 والطعم مايستاهل وفوق هذا مغليين الاسعار اغلى من اي مطعم ثاني",434,3082
1,"مقبول واسعاره جيدة  
 بالنسبة للفلافل والحمص والفول يجي ابو جبارة  بالمرتبة الأولى بعدين هاشم 
  
 يميز هاشم ثبات أسعاره - أبو جبارة طماع",434,28279
-1,جربت نوع محشي فلفل ماعجبني مررة كان نيئ,434,31723
1,المطعم. رائع  والأكل نظيف وش هالحسد اللهم يا  كافي اللي قاعد يقيم وكاتب صفحه كامله مبين انه منافس   أسعار المطعم موحده مع الفروع الاخرى   يكفي الزحمه عليه    الى بعد منتصف الليل  منافس المفروض يحسن مستواه ولا يشوه صورة غيره  التقييم لابد ان يكون واقعي ليش المبالغة,434,26955
