text,polarity
"٦٠ 
اللي يوصل ميلان ولا يمر هالمطعم اعتبرة خسران خسران مطعم مرتب اكل نظيف ولذيذ جداً و العاملين محترمين انا صراحة بدون مجاملة اعطي المطعم ٩٩،٩/١٠٠
",1
"رااااائع 
المطعم أكله لذيذ جداً والعاملين متعاونين وانصح به بشدة وموقعه مناسب ممكن الوصول اليه بسهولة عن طريق التاكسي وشوربة الحريرة ممتازة لديهم
",1
"جيد 
مطعم جيد
العاملين فيه ودون
بالنسبة للأطعمة ممتازة بالأخص اللحم
ورق العنب ليس جيد
الشاي الأحمر ممتاز
على العموم المطعم في مدينة ميلان يعتبر من افضل المطاعم ...
مقارنة بغيره من مطاعم ، انصح بهذا المطعم بشدة
",1
"مطعم جميل جدااااا 
مأكولات بجد جميله جداااااا فواتح شهية المكرونات والأسماك و برافوا الشيف والمطبخ كله حقيقي أكل جميل حتي في طباخ عربي براڤوا كتير والطرته كتير جميله هذا اجمل مطعم اكلنا فيه في ميلانو
",1
"مطعم مصري.. 
السلام عليكم.. المطعم ممتاز جداً كل مسلم و كل عربي بالذهاب إليه.. أبو محمد يدير و يقدم الطعام و أم محمد فالمطبخ تطبخ.. أنا ما أحب الأكل المصري لأن فالغالب يكون مهمل و غير نظيف.. بس ها المطعم كان مختلف جداً الأكل رائع و حلال.. طلبنا لحم بالبامية مع رز و كان لديذ.. و طلبنا مشاوي مشكله و كانت لذيذه.. و طلبنا صحن فلافل و جدا لذيذه.. و أبو محمد أغرقنا بكرمه قدم لنا بالمجان صحن بطاطس بالجبن و صحنين حلويات.. شكرًا بو محمد استمتعنا بالعشا.. و نادر ما تحصلون مطعم نظيف في إيطاليا.. علي - الإمارات..
",1
"Buona scelta gluten-free 
Il ristorante ""Il Grissino"" è un onesto ristorante la famiglia, senza troppe pretese e, coerentemente, con costi contenuti; caratteristiche che ne fanno un buon locale d'appoggio se si vuole mangiare fuori per comodità ma non si sta cercando l'evento memorabile. Tutte le portate sono più che discrete, il servizio cortese e ragionevolmente rapido. Fra i luoghi che fanno pizza senza glutine a Milano, le loro proposte (basate su farina DS) sono da contarsi fra le migliori. Raccomandabile per una cena tranquilla senza impegno.
",0
"مطعم هندي بميلان 
مطعم هندي لذيذ بميلان وقريب من الدومو انصح فيه وبشده ،، حطوا اسم المطعم بخرائط القوقل ويطلع لكم العنوان وقريب حيل من السنتر بس مكانه داخل شوي
",1
"مطعم هندي ممتاز بأكله واستقباله وضيافته 
المطعم قريب من الدومو
تقريبا يبعد اقل من كيلومتر والمسافه تقطعها ماشيا
هناك صعوبة في ايجاد المطعم لكنه يستحق العناء فالمالك كان ودودا جدا والاستقبال والخدمة ممتازة والأكل لذيذ وخفيف وسعره معقول
انصح به بشدة
",1
"رائع 
مطعم هندي ماكولاته لذيذه وهو قريب من الدومو وانصح بزيارته لديه وجبات متنوعه وخدمته جيده وسريع في تحضير الوجبه المطلوبه بس حاول تخبره بتقليل الفلفل حتي لاتولع
",1
"مطعم ممتاز 
انا سافرت إيطاليا و أكلت بيتزا و كانت حلوى اوى والمطعم ممتاز و الخدمة حلو آوى و المكان متميز و المعاملة راقية
",1
"مطعم رائع ♥️♥️♥️♥️ 
الاكل لذيذ جدا و اطيب بيتزا و سيزر سلاد تذوقتها في هذا المطعم♥️♥️
لن انسى مذاقه ابدااا
و سأعود له
قريبا ♥️♥️♥️
",1
"مطعم رائع يستحق التجربه 
اكل لذيذ انصح به ريش غنم و بني اربياتا ومعاملتهم رائعه انصح بتجربه الاكل فيه بس مشكله مافيه بيتزا مع انها اكلتهم المفضله
",1
"مطعم. ممتاز 
أنا من دبي. بحضر الي ايطاليا لعمل بسنس وخصوصا. ميلانو وفي احد المرات. دعاني صديقي استفانو للعشا في وسط المدينه عندما وصلت الي المطعم بهارتني الديكورات التي به
عندما احضرو المنو وجته أسعاره في متناول الجميع والطعام جيد جدا حتي البيزا أكلتها زوجتي كانت ممتازه فعلا كان عشا ممتاز وعندما أعود الي ميلانو سوف اذهب مره اخري الي هناك
",1
"مدهش 
مفاجأة إيجابية، خاصة بعد الحصول على بخيبة أمل مرات عديدة في إيطاليا. استمتعنا بلخدمة، وخاصتا عادل. شعور كبير من الفكاهة. شريحة لحم المطبوخ جيدا ولذيذ. لها حقا تستحق الزيارة، وخصوصا عندما لم تكن هناك أماكن كثيرة في ميلانو.
",1
"مطعم جيد جدا 
انا اكلت فى هذا المطعم بصراحة ما لو حل
يقدمون اطعة شهية جدا
البريمو والسكوندو والترسو ما لهل مثيل
يقدمون انواع جميلة جدا من الحلويات
",1
"مطعم رائع 
متنوع في أصناف البيتزا والرزيتو والباستا .. وأسعاره مقبولة الجلسه الخارجيك جميله والمكان هادئ ومعاملة الموظفين محترمه
",1
"موقع وخدمه مميزه 
في منتصف الغاليري تجده وبين العديدة من المقاهي المنتشرة حوله تجده مميز رغم بساطته يجذبك الأسم وطاولات قليله العدد أنيق والأجمل ما يقدمه من قهوة قويه بالاضافة الي قطع الكيك اللذيذة
",1
"Da evitare anche quello in via Pier della Francesca! 
Sono stata all'Antica Focacceria in via Pier della Francesca 56 a Milano. Ho comprato arancini,caponata,sfincione. Li ho mangiati con un'amica. Risultato: ci è rimasto tutto sullo stomaco!! Una cosa tremenda!!! Siamo state malissimo! La caponata era immangiabile, veramente scadente. Gli arancini e lo sfincione non sembravano malvagi, ma evidentemente in questo locale non usano prodotti di qualità e non cambiano l'olio di cottura. Ci tengo a sottolineare che nè io nè la mia amica siamo dei tipi delicati, quindi non abbiamo problemi a mangiare fritti e cose del genere. Peccato perchè il locale (che tra l'altro non è a buon mercato) in sè è carino.
",-1
"احلا اكله اكلتها 
جربوا هالمطعم للماكولات البحريه عندهم اكل جيد جدا جدا جدا
^_* والخدمه فيه ممتازه
لازم ازوره المره الجايه لما ازور ايطاليا
",1
"جيد جداً 
مكانه شوي يضيع
كان الطعام جيدجدا
لقد أعجبني أنا وزوجتي
طلبنا دجاج تندوري مع أرز برياني مع سبوسك خضار
",1
"متعة فريدة من نوعها 
من أفضل المطاعم التي دخلتها. يميزه انه ليس مطعم وإنما منزل تم تحويله الى متحف غني بلوحات فنية مميزة مع أفضل وارقى خدمة بالاضافة الى طعام لذيذ وممتع لكامل الحواس. تجربة فريدة من نوعها
",1
"تناولت العشاء فيه 
فندق قريب من المطار لكنه عادي في منطقه مزدحمة الطعام عادي اوبن بوفيه لكنه مقبول وكعادة اغلب الفنادق هنا الشيف كيني والاكل يغلب عليه الطابع الكيبني
",0
"اجمل مافيه انه علي النيل 
لعل الميزة لوجوده علي النيل هي ايضا عيب مساءا لتكاثر الناموس والحشرات التي تتجمع ليل علي الضوء الطعام عادي وغالي جدا
",0
"مطعم تركي 
الطعام جيد واللحوم رائعه والاكل العربي المندي روعه الاسعار مناسبه بالمقارنه باماكن اخري في جوبا لكن المطع صغير وليس علي احدث طراز
",0
"مطعم مختلف عن الجو العام بجوبا 
مطعم مختلف بسيط غير انيق ولكنه يقدم طعام مختلف يمكن تصنيفه بانه طعام هندي مقبول وهناك بعض الاصناف التي يمكن تناولها ولكن يغلب عليها البهار والحار والنكهه الهنديه الخدمه جيده ولكنه مزدحم وخاصة وقت العشاء
",0
"مطعم لطيف يغلب عليه الطابع اليوناني لان مالكه اظن يوناني ولكن الطعام هندي اغلبه 
لطيف مزدحم دائما الطعام يتأخر نتيجه للزحام مفضل من الاجانب ولكنه كحال كل مطاعم جوبا مطعم بسيط وغالي جدا
",1
"ممتاز 
الحلويات جيدة حقا. هناك الكثير مما يمكن أن نتوقع لأنه لديه العديد من العملاء ولكن في النهاية الكعك هم حقا جيدة
",1
"ممتاز 
مطعم علا شاطى في هواء طلاق آكلات شهية تمن مناسب شكرًا لي جميع موفدين علا حسن تعامل و احسان مدينة سورينطو مدينة جميلة و مجتمع و الناس محترمن
",1
"كافيه نابولي 
من اجمل انواع القهوه التي شربتها في حياتي قهوه مع كريمه و اجمل كيكه هي الملفيه مع النوتيلا ولا اروع انصح كل من يزور مدينة نابولي ضروري ان تمر على هذا الكافيه لانها ذكرى لن تنسى
",1
"مطعم ممتاز في ايطاليا 
كنت قد طعام الغداء للمرة الثانية في هذا المكان لغداء عمل. الغرفة مع الطوب مقبب ليست قصيرة من المدهش. على النقيض مفروشات بسيطة وحديثة مع العمارة القديمة بطريقة ممتعة. متباعدة بشكل صحيح بحيث الجداول يمكن أن يكون هناك خصوصية جيدة. المطبخ ودية والاهتمام الخدمة وغرامة يرافقه أنيق جدا. وسوف بالتأكيد وأوصى به.
",1
"رائع جدا amazing 
احد الأصدقاء الإيطاليين دعوني على العشاء، كان من اروع مايكون من حيث المكان والخدمة و الطعام حقا من اروع الأماكن في روكاجورجا - لاتينا
المقبلات، الطبق الرئيسي و الحلويات
",1
"ضيافة رائعة 
الضيافة في المطعم والخدمة كانتا جداً رائعة خصوصا لما يكون المضيف هو الشاب التونسي (عادل) طلبنا السلطة الخضراء و كانت جيدة . و طلبنا البيتزا نوعين بالفطر وباللحم(البيتزا اللي باللحم كانت افضل).
و طلبنا السباغيتي بالبحري و كانت تجربة رائعة و جميلة
في هذا المطعم تستطيع أن تذوق الطعم الإيطالي كما هو ...
",1
"شيء خيالي 
كل شيء هما يشعرك بالارتياح الاكل الجناح الخدمات ممتازة شيء لا استطيع وصفه مذهل من اجمل الليالي التي عشتها
",1
"جميل 
مكان حلو كتير و مريح... أكل طيب و غريب من الطبقات الأمركيه للإطليه... من القهوه الأمريكيه للإ سبريسو
بنصح فيه
",1
"مطعم اكثر من رائع 
رحنا المطعم انا و زوجتي و اكلنا واحد (لورد)
طبعا انا طلبته و زوجتي طلبت (تاكينو)
طبعا بالنسبة لي تجربة جميلة و لذيذة جدا
بالنسبة لزوجتي كانت احلى من عادي
في الختام انصح فيه بشدة
",1
"من أروع الأماكن 
يقع في أجمل ساحات فيرونا . خدمته ممتازة ومأكولاته ولا ألذ من اللحوم والأسماك الطازجة . رواده بحسب ما رأينا يقصدونه من كافة أنحاء العالم وفي سهراته أجواء رومانسية مع مطرب ايطالي وعازف بيانو . بامكانكم الاستمتاع بكل ذلك بالداخل وسط ديكور ايطالي راق وأسلوب مرهف بتقدمة الأطباق . أما في الخارج تستمتعون باللوحة الفنية , تلك الساحة العريقة "" بياززا ايربي .. بالتأكيد في زيارة مقبلة من لبنان بيروت سنزور هذا المكان
",1
"Rifugio nascosto ma una rivelazione! 
Ne nostro tour sella-ronda quando sciamo non può mancare questo rifugio scoperto per caso per metterci al riparo da una bufera di neve. Da segnalare le tagliatelle ottime e abbondanti, una polenta e goulasch spettacolari e grande ospitalità. Ci torniamo spesso e abbiamo assaggiato praticamente tutto il loro menù, non si sbaglia con nulla e il prezzo è onesto, con 15-20€ si mangia benissimo!
",1
"Jordan 
قمت بزياره ايطاليا عام ٢٠١٢ وذهبت الى هذا المطعم كمن نصحني أصدقائي ووجدته مطعم رائع و يستحق الزيارات و قامت المدام لوشيانا بخدمتنا جيدا و ان شاء لله في الزياره القادمة سنعود الى هذا المطعم الكبير
",1
"اروع باستا على الإطلاق 
اروع باستا يمكن أن تأكلها في فينيس، يوجد في هذا المطعم أنواع عديده من الباستا ،تحضر الباستا خصيصا لكل زبون ولهذا يستغرق تحضيرها بعض من الوقت ،هذا المطعم مناسب لطلب الباستا وتناولها عند التجول في طرقات فينيس، كل من يعمل في هذا المطعم يحب عمله ولهذا ستحب الباستا المقدمة لك.
",1
"فعلا باستا طازجة 
الباستا لذيذة جدا وطازجة وطعمها مميز جربت انواع الباستا بالخضار وجميعها شهي الكمية مناسبة ومشبعه والسعر يعتبر رخيص
",1
"ايطاليا 
مطعم ممتاز خدمة ممتازه مطبخ ممتاز طعام شهي خدمة لم اجد افضل منها خلال زيارتي للبندقية
واسعار مقبولة جدا ونشكر جميع القائمين على المطعم
",1
"Taverna da baffo هو الافضل 
من اجمل المطاعم التي زرتها في حياتي يتمتع بالهدوء و الرقة و فريق عمل رائع و متعاون و الطعام لذيذ والاسعار متوسطة في كل مرة اذهب البندقية سأذهب إليه
ادعوكم لتجربته
",1
"مطعم سيء ! 
هذا المطعم في السابق كان يعتبر الأفضل في فينيسيا دون منازع، ولكن في الفترة الأخيرة تغير الحال كثيراً ... فقد قمت بزيارته مؤخراً وقد أُصبت بخيبة أمل، فالمطعم أصبح سيء جداً ولا يمكنك حتى وصفه بالمطعم العادي ... من الواضح حسب مافهمت من النادل ان سبب ذلك هو تغير ادارة المطعم وبحثهم عن المكسب المادي دون اي اهتمام بجودة الأكل. وعند زيارة المطعم فلن تجد الا السياح فقد هجره سكان مدينة فينيسيا لمطاعم أخرى ...
",-1
"مطعم عادي جداً 
هذا المطعم في السابق كان يعتبر الأفضل في فينيسيا دون منازع، ولكن في الفترة الأخيرة تغير الحال كثيراً ... فقد قمت بزيارته مؤخراً وقد أُصبت بخيبة أمل، فالمطعم أصبح سيء جداً ولا يمكنك حتى وصفه بالمطعم العادي ... من الواضح حسب مافهمت من النادل ان سبب ذلك هو تغير ادارة المطعم وبحثهم عن المكسب المادي دون اي اهتمام بجودة الأكل. وعند زيارة المطعم فلن تجد الا السياح فقد هجره سكان مدينة فينيسيا لمطاعم أخرى ...
",-1
"رائع بمعني الكلمه 
رائع كجوده طعام وخدماته ممتازه.... هناك تناسق بين مستوي أسعاره ومستوي الخدمة اهم شئ احسسته هناك انه يهمه إرضاء العميل...
",1
"بيتزا ممتازة 
الشربة البحرية جيدة .. المكرونة عادية جدا .. البيتزا جدا ممتازة الجلسة والخدمة ممتازة ايضا بشكل عام لا اعتقد انني اعيد التجربة به
",0
"مطعم ممتاز جدا 
انصح اي سائح عربي او غير عربي بزياره هذا المطعم الزي يشتهر بالجوده في الطعم المتميز للاطباق الايطاليه وايضان المكان المبهر الجميل علي ريفا الفوندمنت والاسعار ليسه عاليه اسعار معقوله جدا ويشتهر المطعم بالاسماك الطازجه واللحوم الطازجه ويقدم ايضا البيتزا زات الطعم المتميز انصح كل سائح زياره هذا المطعم ويتميز المطعم بالخدمه الممتازه والاكل الممتاز وحض طيب لصاحبه الاستاذ ماجد
",1
"يوم في فينيسا و اجمل موسيقي في كوفي دي قوادري 
لقد قضيت ليلة حمبلية في فينيسا و خاصة عندما تناوانا الطعام مع انغام الموسيقي االرائعة في كوفي دي قوادريلقد استمتعت كثيرا انا و عائلتي بقضاء ليلة رائعة في كوفي دي قوادريي  استمتعت كثيرا بمجمعوعة الموسيقين ا لمحترفين وهم يعزفون الموسيقى الرائعة . اود ان اقول ان كوفي دي قوادري من اجمل المطاعم  الطعام لذيذ و شهي . والخدمة ممتازة المكان رائع و موسيقى وعازفين رائعين
",1
"مطعم فعلا رائع 
ذهبت انا وعائلتي لهذا المطعم وكان فعلا اكثر من رائع. نظيف جدا ودا اهم شيء. والطعام كان لذيذ جدا والبيتزا ليها مذاق خاص جميل جدا. انصح كل العالم انه يزور المطعم دا لانه فعلا أفضل المطاعم في ڤينيسيا.
",1
"احلي و اطيب بيتزا في فينيسيا 
اكلنا انا و زوجي و اولادي بيتزا بالتونة و البصل و ايضا بيتزا السجق اللذيذ
الطعم جيد جدا جدا و الخدمة غاية في الجودة و هم ودودون و الاسعار مناسبة جدا
شكرا لكم و اراكم المرة القا دمة
",1
"المكان حلو وممتع للغايه وخاصه قريب من سان ماركو بفينيسيا ورياالتو 
انا اكلت طعميه اقصد الفﻻفل طعمها جميل وكان نفسي اكل اكله مصريه وطلبتها وعملوها لي فعﻻ البرسونالي عالي الجوده وخدمه ممتعه استعمت ساعه وبعد كده شربت شاي وورجعت الي بلدي وحكتلوهم علي المكان وروعته واتمني من الجميع الزهاب اليه اﻻكل كله حﻻل واسﻻم امانه
",1
"متعة المكان ولذة الطعام 
حين تود ان تشاهد امامك منظر البحيرة الخلاب وانت تتناول طعاماً شهياً
لايوجد اجمل من هذا المطعم في hotel dulac
في بيلاجيو الخلابة
",1
"رائع جدا 
اجمل مكان ممكن ترتاح في الاقامه فيه عندم تزور الكومو واسعاره مناسبه جداا واكل مميز جداا جداا وخصوصا اسماك طازجه وطباخ ممتاز و خدمه مميزه جداا
",1
"Allucinante 
Il 24 agosto 2012 abbiamo avuto la dissaventura di riservare la cena al ristorante "" Palazzo Mastroddi "" di Tagliacozzo. Il locale è senza dubbio un luogo raffinato e sontuoso ma il servizio al ristorante si è rivelato di infimo ordine. Mancanza del menu' , lunghe attese e sopratutto, la scelta limitatissima su un'offerta di pesce. Antipasto di pesce cotto o crudo, noi abbiamo optato per il cotto molto banale salvo il prezzo, uno di noi intollerante al pesce ha chiesto un antipasto di carne e molto raffinatamente abbiamo scoperto il melone con la tutta la buccia, e la lonza per dare un tocco di raffinatezza. Saltiamo i primi per l'eccessiva lentezza del servizio e quasi per intercessione del Santo patrono è stato possibile ottenere una frittura di calamari, due porzioni di mazzancolle e scampetti, una fettina di carne ( preciso fettina in quanto non c'era ne scaloppe ne bistecche) lasciamo perdere il dessert o il caffè sempre per le lunghe attese, e paghiamo 180 euro più l'arrogante atteggiamento dello chef che decantava la freschezza del suo pesce, peccato che il Palazzo Mastroddi non sia al mare, e lo chef un po`meno irascibile. Conclusione sconsigliabile sotto tutti i punti vista
",-1
"الجوده 
ا نه مطعم يمتاز بجوده في الطعام الايطالي والخدمه الممتازه ان المساحه البسيطه تجعله جميل حيث ان المطعم يكفي خمسون زبون مما يجعل الخدمه مميزه في الطعام و الشراب والحلو
",1
"جميل جدا 
.انه جميل جدا و الأكل رفيع المستوى انا انسح لل كل من يريد ان يتمتع أو أن يأكل انه مميز يستحق كل شي لل اعراس حفلات غنائية لل اطفال صغار و كبار
",1
"Oro di Napoli 
Pizzeria Trattoria presso la stazione di Chieri. La pizza più buona di Chieri, e penso del Piemonte.
Le chiacchiere sia salate che con la nutella, sono una prelibatezza.
",-1
"مكان مذهل 
استمتعت كثيرا مع اسرتي وتذوقنا وجبات جديده علينا كانت شهية و لذيذه وقدمت بطريقة راقية ... كم انه كان مكان مناسب جدا لقضاء وقت ممتع مع الاسره ... وهنا انتهز الفرصه لاوجه شكري الخاص للمشرف على ادارة المطعم لحسن الضيافة والمعاملة الراقية ... وفي زيارتي القادمة الي بيروجيا بالتأكيد سأكرر تناول وجبه اخرى هنا في هذا المطعم الرائع
",1
