ngram,polarity
100/100,1
10/10,1
1-عمليه,1
amazing,1
amazing product,1
beautiful,1
cool,1
excaent,1
excellent,1
fantastic,1
good,1
i like,1
like,1
love,1
nice,1
not bad,1
perfect,1
recommended,1
recommend it,1
satisfied,1
sweet,1
thank,1
thanks,1
very sweet,1
vgood,1
woow,1
xcelent,1
xcellent,1
yes,1
ااشكراا,1
ابداع,1
اجمل,1
احب,1
احبه,1
اروع,1
استخدامه لفتره طويله,1
اصلي,1
اعجبتني,1
اعجبني,1
افراغ الهواء,1
افضل,1
التعامل,1
الرداءه,1
العبوه كبيره,1
المذهله,1
المنتج اصلي,1
المواصفات كما في ,1
انصح,1
انصح بشراء,1
انصح بها,1
انيق,1
ايجابي,1
بالجوده,1
بنصح,1
تحففةةة,1
تحفه,1
تدوم,1
تستاهل,1
تصلح,1
تطابق,1
تعجبني,1
تعمل بشكل جيد,1
تناسب وزني,1
تؤدي الغرض,1
جامده,1
جدا من,1
جدا وجميل,1
جربوها,1
جميل,1
جميلة,1
جميل جدا,1
جميله,1
جمييلة,1
جودة جيدة,1
جيد,1
جيدا,1
جيدة,1
جيدة جدا,1
جيد جدا,1
جيدجداا,1
جيد نوعا,1
جيده,1
جيده نوعا,1
حلو,1
حلوه,1
حلوو,1
حلى,1
حميل,1
رااائعة وعملية,1
راائع,1
راائعة,1
راائعه,1
راقية,1
رائع,1
رائعة,1
رائعه,1
رايع,1
رايقه,1
رخص,1
ررااائع,1
ررووعه,1
روعة,1
روعه,1
رووعه,1
ساعة,1
سريع,1
سلعةةجيدة,1
سهل,1
سهل الاستخدام,1
سهلة,1
سهولة,1
شكر,1
شكرا,1
شكرااا,1
صادق,1
صادقه,1
صدوق,1
صريح,1
طيبه,1
عالية,1
عملي,1
عمليه,1
غاية,1
غنى,1
فرح,1
قمة الجودة,1
كما في المواصفات,1
كما في الموقع,1
 كما هو معروض,1
كويس كويس,1
لاباس به,1
لاباس بها,1
لا غنى عنه,1
لا غنى عنها,1
لا يفوتكم,1
لطيف,1
ما شاء الله,1
متناغمه,1
مثل المواصفات,1
محكم .,1
محنرم,1
مدح,1
مذهله,1
مرنه,1
مريحة,1
مريحه,1
مشكوور,1
مطابقة,1
مطابقة للوصف,1
مطابق للمواصفات,1
مفيد,1
مفيده,1
ممتااز,1
ممتاازة,1
ممتاازه,1
ممتاز,1
ممتازة,1
ممتازز,1
ممتازه,1
مميز,1
مميزه,1
مميز و جميل,1
مناسب,1
مناسبة,1
منافس,1
منتازه,1
منتج جيد,1
نحب,1
نحبهم,1
وانصح,1
وانيقه,1
وجميل,1
وسهل الاستخدام,1
وسهلة,1
وشكرا,1
وفيه,1
ولا اجمل,1
ومتوافق,1
وممتاز,1
وممتازة,1
